Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SMARCA2 (human)	3/1536	0.0075769688377474494	0.3342515106342934	0	0	12.042400521852576	58.79873115629824	JPH2;HLA-DMA;HLA-DQB1
IRF8 (human)	3/1550	0.0077732909449835675	0.3342515106342934	0	0	11.92436974789916	57.91739911299755	JPH2;HLA-DMA;HLA-DQB1
RORA 2 (human)	1/42	0.012535476566438152	0.3593503282378937	0	0	97.33170731707317	426.23428554035564	HLA-DQB1
NR4A2 (human)	1/79	0.023469931862476083	0.4540431432763101	0	0	51.06666666666667	191.60392946538713	HLA-DQB1
NFYA (human)	3/2549	0.030676836062597808	0.4540431432763101	0	0	6.853102906520031	23.87790622270277	HLA-DMA;BLNK;HLA-DRA
RORA 1 (human)	1/107	0.0316774286006728	0.4540431432763101	0	0	37.52452830188679	129.54033352045758	HLA-DQB1
MYC (human)	2/1302	0.053289474237091905	0.468645940344562	0	0	7.19	21.081198266820415	JPH2;ALPL
CBEPA (human)	2/1366	0.05814723960571915	0.468645940344562	0	0	6.8291788856304985	19.42749014436647	JPH2;BLNK
AHR (human)	2/1391	0.06008957445748534	0.468645940344562	0	0	6.697264218862491	18.832163985425602	BLNK;ALPL
USF1 (human)	2/1441	0.06404782702428544	0.468645940344562	0	0	6.447185545517721	17.717672921364848	ALPL;HLA-DQB1
SMAD4 (human)	2/1542	0.07233325948341365	0.468645940344562	0	0	5.991558441558442	15.736655900035665	JPH2;ALPL
NR3C1 (human)	2/1590	0.07640181436681705	0.468645940344562	0	0	5.795340050377834	14.904159022031108	BLNK;HLA-DRA
SPI1 (human)	2/1638	0.08055160924774699	0.468645940344562	0	0	5.610635696821516	14.132390072772504	HLA-DMA;BLNK
MYOG (mouse)	2/1675	0.08380444390080143	0.468645940344562	0	0	5.475493126120742	13.575221698164643	JPH2;ALPL
USF2 (human)	3/3792	0.08648865709593315	0.468645940344562	0	0	4.276854051200845	10.468635312439137	HLA-DMA;ALPL;HLA-DQB1
LEF1 (mouse)	2/1730	0.08872431218405515	0.468645940344562	0	0	5.285300925925926	12.802168652528284	BLNK;ALPL
ETV4 (mouse)	2/1773	0.09263931378904132	0.468645940344562	0	0	5.144833427442123	12.23977312180512	JPH2;ALPL
TCF4 (human)	3/4210	0.1121704500485975	0.5359254835655214	0	0	3.7525552650344665	8.209599078755916	HLA-DMA;HLA-DRA;HLA-DQB1
XBP1 (human)	1/605	0.16833434331366554	0.5394381277829272	0	0	6.420529801324503	11.440120150895218	HLA-DRA
SREBF1 (human)	2/2587	0.17613446621156464	0.5394381277829272	0	0	3.367311411992263	5.847361734194764	BLNK;ALPL
CBEPB (human)	2/2598	0.17736201829267195	0.5394381277829272	0	0	3.350924499229584	5.795632798281728	HLA-DMA;BLNK
CREM (human)	1/662	0.18289396281248643	0.5394381277829272	0	0	5.849621785173979	9.937622553961022	HLA-DQB1
CBFB (human)	1/774	0.21088414692869925	0.5394381277829272	0	0	4.973091849935317	7.740350722632181	HLA-DQB1
YY1 (human)	3/6042	0.2595658944326193	0.5394381277829272	0	0	2.3108130485179665	3.116696806035613	JPH2;HLA-DRA;HLA-DQB1
HIF1A (mouse)	1/1124	0.293258278082663	0.5394381277829272	0	0	3.360819234194123	4.1227222078525365	JPH2
TFAP2A (human)	2/3613	0.29717507940788235	0.5394381277829272	0	0	2.2684851841595126	2.7526566446840635	HLA-DMA;ALPL
MAPK14 (human)	1/1190	0.3079579362061987	0.5394381277829272	0	0	3.163162321278385	3.7255475174017123	JPH2
RUNX1 (human)	2/3857	0.3270700815186038	0.5394381277829272	0	0	2.0932555123216603	2.339382200368378	JPH2;HLA-DRA
FOXF1 (human)	1/1352	0.3429622778339306	0.5394381277829272	0	0	2.759881569207994	2.9534453525544224	HLA-DQB1
CRX (human)	1/1362	0.3450737464764148	0.5394381277829272	0	0	2.7381337252020574	2.9133664166585893	HLA-DRA
LTF (human)	1/1363	0.3452845819623399	0.5394381277829272	0	0	2.735976505139501	2.9094000057931693	ALPL
APEX1 (human)	1/1373	0.3473898278993354	0.5394381277829272	0	0	2.7145772594752184	2.870143455686828	ALPL
STAT5B (human)	1/1379	0.34865026547458705	0.5394381277829272	0	0	2.70188679245283	2.8469401891992763	HLA-DRA
HMGA1 (human)	1/1379	0.34865026547458705	0.5394381277829272	0	0	2.70188679245283	2.8469401891992763	BLNK
JUND (human)	1/1380	0.3488601410389921	0.5394381277829272	0	0	2.6997824510514867	2.843098186232677	HLA-DQB1
NR5A1 (human)	1/1389	0.3507464864887355	0.5394381277829272	0	0	2.6809798270893372	2.808839983452587	BLNK
FOS (human)	1/1394	0.35179248690470416	0.5394381277829272	0	0	2.6706389088298637	2.790053331048011	ALPL
POU2F1 (human)	1/1399	0.3528370826267807	0.5394381277829272	0	0	2.6603719599427755	2.771439432201787	BLNK
ETV4 (human)	1/1403	0.3536717487794857	0.5394381277829272	0	0	2.6522111269614834	2.7566712718372433	BLNK
MYOG (human)	1/1404	0.3538802751118798	0.5394381277829272	0	0	2.6501781895937278	2.752996169470808	HLA-DRA
NFIA (human)	1/1416	0.3563782211117597	0.5394381277829272	0	0	2.626007067137809	2.7094161240687966	HLA-DMA
CEBPB (human)	1/1420	0.3572090792612465	0.5394381277829272	0	0	2.6180408738548273	2.695100321499559	ALPL
RXRA (human)	1/1422	0.35762417299136967	0.5394381277829272	0	0	2.6140745953553837	2.6879813856283974	HLA-DRA
PGR (human)	1/1447	0.36279402643659187	0.5394381277829272	0	0	2.5654218533886586	2.6011325924067283	JPH2
ELK4 (human)	1/1453	0.3640296179953296	0.5394381277829272	0	0	2.553994490358127	2.5808626312508247	JPH2
