id	logFC	AveExpr	t	P.Value	adj.P.Val	B
ARNTL	-2.32648115858333	4.92273822795833	-8.94195806772155	7.81396263234585e-09	0.000229117468150908	8.93166062411355
ADAMTSL1	1.20316433166667	8.07453356191667	8.61881153766605	1.48866639991255e-08	0.000229117468150908	8.26664976625563
FKBP5	-2.36183499475	8.641115536375	-8.5910928954405	1.57428965815152e-08	0.000229117468150908	8.20897617334671
BMP1	-1.20411657716666	6.74808436908333	-8.39261061585463	2.35656982702398e-08	0.000229117468150908	7.79307273920582
ISM1	-3.49149839683333	3.66543033283333	-8.2924145363234	2.8945464848617e-08	0.000229117468150908	7.58116626024078
CRISPLD1	2.10911123558334	10.0724286967083	8.2888578471024	2.91582246817104e-08	0.000229117468150908	7.57362003195909
ERRFI1	-1.82137744874999	7.58515499945833	-8.26768737499904	3.04584472700214e-08	0.000229117468150908	7.52866840481124
CXCL10	3.20954535933333	2.31242710441667	8.24975958181828	3.16062239443943e-08	0.000229117468150908	7.49055617320869
PER2	1.59716968858334	6.83761488079167	8.07720105298853	4.52220730089114e-08	0.000285719439319536	7.12156846424668
KLHL32	1.971005495	2.26382358116667	8.03620683709253	4.92679184245575e-08	0.000285719439319536	7.03333661407958
TNC	-2.78844349191666	8.95463299245833	-7.9755787447598	5.59474074796519e-08	0.000294959818360678	6.90244408773665
KRT8P23	2.11251494916667	3.1118034355	7.81919171554581	7.78380249983142e-08	0.000348661980746044	6.56259829173329
HMCN1	1.41188322583334	10.60105192625	7.79001120892447	8.28149245326764e-08	0.000348661980746044	6.49883306698666
SLC19A2	-1.66184399025	4.60260483995833	-7.78237884510505	8.41699468978085e-08	0.000348661980746044	6.48213655250766
HIF3A	-1.47481482841666	7.07570373220833	-7.72926633032109	9.42540272867273e-08	0.000364404920295945	6.36573824343749
CX3CR1	3.565448359	3.63794769133333	7.69225869798954	1.02009003106212e-07	0.000369738007321159	6.28441795058706
TIMP4	-2.13972236808332	7.929322920875	-7.57205875312948	1.32043887450385e-07	0.000450448303818244	6.01906819516686
FCER1A	2.64479406783333	1.95447724233333	7.54261109757207	1.40703373408986e-07	0.000453322818561519	5.95377597134414
PGAP2	1.30172240266667	5.07185592183333	7.47867699390904	1.61573550934596e-07	0.000493164996807897	5.81163539442569
GALNT15	-2.11285361583333	8.24500478175	-7.35622966910871	2.10896456947898e-07	0.000601241970165397	5.53794489213668
AFF2	-3.11382175358333	2.96951793645833	-7.34166066617344	2.17717334393346e-07	0.000601241970165397	5.50525347701621
PER3	1.89081644733334	7.07933558666667	7.29433003110996	2.41483168533761e-07	0.000636560608762655	5.39886231590193
COL7A1	-1.45801838058333	4.70444627670833	-7.20562113990445	2.9346957865986e-07	0.000710419809761791	5.19869764229506
