id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM170559	0.00105077280889578	0	0.0188056071501068	0.0244398601142631	0.164200074848797	0.0105103453560811	0	0.0104023372337398	0	0	0.0455895515987634	0	0	0.0156090243805566	0.473683909469353	0.00507397614678817	0.00409310419146477	0.0522869714426978	0	0	0.174254465258493
GSM170560	0	0.00631660583628692	0	0.0476547681080433	0.119914506730004	0	0.0136971126101171	0	0.0204076355365308	0	0.0100546135342691	0.0693137110907417	0	0.0342930157843264	0.496354590478313	0	0	0.123020486719778	0	0	0.0589729535715891
GSM170562	0	0.044696488962486	0	0.0410480144205058	0.0454132681374326	0	0.0298979776786363	0.000736627561198072	0.03925673669046	0	0.00032192269224296	0.327127899143981	0.1054392753071	0.025642405986242	0.246819131113794	0	0	0.0678751444325325	0.010417148800601	0	0.0153079590727872
GSM170550	0.166190538511511	0.125312966524479	0.0314342610785623	0.0763763210140382	0.107900283793538	0.00605623215966938	0.0851767451871425	0.0118573625665428	0.000601328698458906	0	0.0136231357529948	0.0460541334764928	0.0687342957993244	0.0133292867300838	0.123162242034676	0	0.00373440371327474	0	0.119258703724139	0	0.00119775923507284
GSM170551	0.217993449940604	0	0.023352346405964	0.094925568719917	0	0	0.100671093638619	0.0232646538967783	0.0105528705161902	0	0.0479827471127319	0.216206928238527	0	0.0047940605552833	0.143086677210832	0	0.00932494946116712	0	0.0932511836044488	0	0.0145934706989381
GSM170552	0.0074590472985261	0.0124020137076545	0.00931438443404179	0.0221781530769352	0	0	0.0378718533690716	0.0160131036118218	0.0560397030340628	0	0.0225876873584323	0.0180700056304169	0.357231812335932	0.0174384664552926	0.218425195242583	0.00995028591729146	0	0	0.180484467905842	0	0.0145338206220958
GSM170553	0.0972171161013504	0.0229757794738777	0.0589894998934719	0.12292815723073	0.0598408966888886	0.000495712938856969	0.0343169978291025	0	0	0	0.0201310076090999	0.0949329170882862	0.0807473214792944	0.0306291379858197	0.213305569975357	0	0	0	0.127463365836737	0	0.0360265198691272
GSM170554	0.00890706261308644	0	0	0.0198717792376181	0.000668356832979946	0.00766819704070744	0.0109065521907396	0.00440218609281433	0.00330961698167812	0	0.0107890768391708	0.0955320944976003	0.488934502084138	0.00516438372871967	0.240327322543634	0.0061666295861724	0	0	0.0653767269504811	0	0.0319755127804604
GSM170555	0.00464847697413778	0.0060377939177643	0	0.0170175617864559	0	0	0.0317497138319098	0.00196927652502807	0	0.0135822356408045	0	0.24630065061409	0.0774352768802251	0	0.281186370937798	0	0.0340492208058617	0	0.00696031478739622	0.0262302441540521	0.252832863144476
GSM170563	0.0279794941377578	0.0293629539944714	0	0.0167601409609065	0.0395591585334547	0	0.0358303967394365	0	0.0136418117229083	0	0.00968484341102395	0.156582321838385	0.296870207919395	0.0135330778388065	0.219931972982182	0	0	0.00307322884157604	0.0224944193040462	0	0.11469597177565
