ID	GSM4191186	GSM4191187	GSM4191188	GSM4191189	GSM4191190	GSM4191191	GSM4191192	GSM4191193	GSM4191194	GSM4191195	GSM4191196	GSM4191197	GSM4191174	GSM4191175	GSM4191176	GSM4191177	GSM4191178	GSM4191179	GSM4191180	GSM4191181	GSM4191182	GSM4191183	GSM4191184	GSM4191185
ADAMTSL1	7.022367813	7.54689446	7.607330314	7.994353437	7.357552005	7.118941073	7.409390936	7.17990909	8.144658243	7.098032083	7.672425342	7.523561956	8.968666793	8.903881846	8.005624549	8.960001932	8.927777962	8.640244936	8.434628228	8.252665432	8.599912842	8.519636253	8.727920455	9.172427509
BLNK	1	2	2	0	3.169925001	3	2	2.584962501	1	2	0	0	3.807354922	3.584962501	4.247927513	4	4.64385619	4.807354922	2.321928095	3.459431619	4.169925001	4	3	4.64385619
HBB	4.807354922	7.257387843	4.584962501	5.491853096	3.169925001	4.087462841	4.754887502	2	5.727920455	4.95419631	2	4.584962501	6.599020177	7.451211112	8.348728154	7.022367813	6.189824559	8.233619677	10.56408279	8.661778098	7.055282436	8.027905997	6.14974712	9.815383296
MMP2	9.513727596	10.14974712	8.845490051	9.118941073	10.26912668	9.712509805	9.357552005	9.211888295	10.42416629	9.278449458	9.627533884	8.813749131	11.12116438	10.86573327	10.36632221	11.33427329	10.40939094	10.36413466	10.29691621	9.837627933	9.753216749	10.45224124	10.84313591	11.04780555
BTD	5.614709844	7.022367813	5.392317423	5.523561956	6.22881869	5.087462841	5.554588852	5.321928095	6.510645504	5.129283017	6.06608919	5.087462841	7.022367813	6.539158811	6.409390936	7.21916852	6.885330315	6.62935662	6.741466986	6.87036472	6.129283017	6.569855608	6.357552005	7.519243094
ADA2	5.807354922	7.21916852	5.754887502	5.930737338	6.189824559	4.584962501	6.285402219	5.584962501	7.499845887	6.044394119	6.409390936	5.491853096	8.174925683	7.794415866	7.285402219	8.413627929	8.523561956	8.169925001	7.022367813	6.491853096	6.22881869	6.321928095	7.21916852	8.027905997
ALPL	4.087462841	6.794415866	2.321928095	4.754887502	6.442943496	4.392317423	3.700439718	4.247927513	4.857980995	5.044394119	4.321928095	4.247927513	2.584962501	3.169925001	2.321928095	4.169925001	4.169925001	2	2.321928095	4.087462841	2.321928095	2.584962501	2.321928095	2.321928095
OAS1	4	3.459431619	3.321928095	3.700439718	4.321928095	3.906890596	3.906890596	4.64385619	4.392317423	2	3	3.700439718	6.022367813	4.906890596	5.614709844	6.50779464	5.357552005	4.321928095	3.584962501	4.459431619	4.584962501	4.857980995	4.247927513	5.754887502
NLRP3	2.807354922	4.169925001	2.584962501	2.807354922	3.321928095	3.584962501	3	2	2.584962501	0	0	2.321928095	3.169925001	3.807354922	3.584962501	4.169925001	4.584962501	3.906890596	3.700439718	3.807354922	3.584962501	4.64385619	3.321928095	5.087462841
TNFRSF6B	2.347665656	3.051372102	2.201633861	2.970853654	4.597531174	4.865918815	2.493134922	3.575312331	3.842978832	3.508428653	3.173127433	3.313245852	0.111031312	2.843983844	1.90303827	0	1.007195501	1.389566812	2.908812908	1.883620816	1.695993813	3.386810946	2.17951105	3.386810946
HFE	5.727920455	6.375039431	4.169925001	4.321928095	5	4.087462841	3.807354922	4.169925001	5.807354922	4.392317423	4	4.392317423	6.14974712	5.491853096	5.087462841	6.672425342	5.781359714	5.491853096	5.426264755	5.64385619	5.169925001	5.491853096	5.285402219	6.727920455
TLR7	0	2.321928095	0	0	3.906890596	2.807354922	1.584962501	2.584962501	2.584962501	1.584962501	0	0	3	2.807354922	2.807354922	2.321928095	3.321928095	2.807354922	2.584962501	2	2.807354922	3.169925001	3.459431619	4.321928095
GAD1	2	4.95419631	2	2	2.584962501	3.169925001	4.459431619	5.169925001	3.459431619	1.584962501	3.700439718	3	5.614709844	5.209453366	4.754887502	5.882643049	4.459431619	5.672425342	3.807354922	2.321928095	4.459431619	4.95419631	4.247927513	4.321928095
