ID,GSM170556,GSM170557,GSM170558,GSM170559,GSM170560,GSM170561,GSM170562,GSM170564,GSM170550,GSM170551,GSM170552,GSM170553,GSM170554,GSM170555,GSM170563
DOCK2,7.775248648,7.81696733,7.768085428,7.955581331,8.483529359,7.921751922,8.534657206,8.039057803,10.04213992,9.745565088,10.05144479,10.20691488,9.764256905,10.29584433,10.0200546
BTK,6.54166759,6.876807053,6.611335294,6.900117217,6.946639535,6.945207055,7.53000351,6.575831361,9.230775848,8.310470398,8.499963251,9.037796231,8.819729167,9.006512323,8.777976674
DEF6,6.554754015,6.781061325,6.751587841,6.79593384,6.724684465,6.895069263,7.215264785,6.687565861,9.320955752,8.548436111,8.185478505,9.247539421,8.404175371,9.126252977,8.727280838
PIK3CD,7.676324773,8.121683536,7.787845329,8.157540131,8.196582456,7.867325016,8.269293464,8.233176169,10.51592696,9.524026771,9.809284452,10.12061145,9.453054797,10.5694835,10.04540538
UCP2,7.268656928,7.401616815,7.702224688,8.888927835,8.300337123,7.730536459,8.433735371,7.671324183,10.7937742,10.18113419,10.10454713,10.40879535,10.69592688,10.88261491,10.43940525
FBLN5,11.76973235,12.23318485,11.47252602,11.50626129,11.66994083,11.27652846,11.11056213,11.06583706,8.285206995,9.670172792,9.293395623,8.645781895,7.653708778,8.092689602,8.456591689
HLA-DPB1,12.70182886,12.27223164,12.43599366,12.64969988,13.16471652,11.91645739,12.95628588,12.48302436,14.07244137,14.20877288,14.3680419,13.93004428,14.20877288,14.20877288,14.20877288
LMOD1,9.889774985,10.19896268,10.59788961,11.40171223,10.46335214,10.74249906,9.864609294,10.60484199,7.031800596,8.485573934,8.300072787,7.641039778,6.393278842,6.660321274,7.358828858
HLA-DMA,10.64070734,9.878456834,10.0736554,10.2744249,10.91620454,10.25559822,11.12831918,10.48176989,11.87368813,12.20175024,12.34467262,11.85382805,12.92501119,12.69745834,12.36939052
NCF1,7.502605356,8.095717193,8.220235784,7.6425141,9.051794222,8.280488698,9.507357644,8.371753198,11.68614623,11.02869313,10.63491267,11.06186286,10.75501997,12.52150998,11.74871923
PKD2,10.86516257,10.80033964,10.88619991,10.64325921,10.46822502,10.5026148,9.818573231,10.45802896,8.205080529,7.478735342,9.497063826,8.568756433,8.346098816,8.384441759,8.473254379
CYBB,6.84084765,7.542991986,7.660821113,7.711560065,8.59880784,7.576376047,8.021209493,7.867325016,9.357088516,9.664073759,9.757159293,9.035033726,9.492245176,10.03044138,9.577515689
MICA,10.02086651,9.408574592,9.43586108,9.656033537,9.220069681,9.546842284,9.121153929,9.695902923,8.367859992,8.175230207,8.654638558,8.710191533,8.591010503,8.181742634,8.267076862
LTBP1,12.35830614,12.93286483,12.12826612,11.97845783,12.15470036,12.14942917,11.95249127,12.12826612,8.816941824,8.870155816,11.11616532,9.423905222,7.243581867,8.423833542,8.851261034
CSF1R,9.12962165,9.630972359,9.750525035,9.222757686,10.85923296,9.882469837,10.60484199,9.600515203,11.38833569,11.71282846,12.25598341,11.5374708,11.80741114,12.3228538,11.80520388
HLA-B,12.00055523,11.31240425,11.51393586,12.42642586,11.55453598,11.49448962,11.33467143,11.44126079,13.05256515,13.12923324,12.40712168,12.91363967,13.19651873,13.37158672,13.00785341
FHL1,13.03479477,13.10690801,12.49125218,12.01285821,12.80242051,12.77941226,11.78661038,12.40712168,9.536851887,10.03044138,10.58654133,10.59323278,7.527826781,8.57152412,9.599328773
HLA-DQB1,8.496381042,8.227453897,8.223047485,8.093485527,9.345307851,8.185478505,10.13571741,8.248670026,10.90754744,11.74871923,11.14023097,10.66011968,10.89175131,10.53219602,10.32216375
CYBA,8.856348272,7.878078714,8.852464216,10.04292682,9.86145105,9.386020707,10.52377567,8.720330549,11.68857711,12.47074462,11.2790357,11.62342834,11.89991199,11.78661038,11.38833569
PRDM1,6.416726999,6.645814358,6.5166048,6.547038979,6.561684647,6.479310119,6.451510799,6.48607246,7.896186652,6.896107716,8.14893712,7.736161721,7.175966025,8.024592582,7.791822678
HLA-DRA,10.20602223,9.37981555,10.10454713,11.03726919,10.35433064,10.05220464,11.60271306,9.953662085,11.82822516,13.37158672,12.30237941,12.73880175,12.45709137,12.38524974,12.28795896
JAG1,8.317783934,9.284663342,8.804356283,8.203637883,8.609261005,8.775175163,8.949491784,8.732450952,6.769990665,7.960024594,7.598698966,7.141915073,6.305989363,6.59867685,6.975590944
C2,7.278895904,7.590117806,7.404221051,8.593460844,8.5941835,7.894054792,8.321606759,7.827216328,9.233254723,9.656753235,9.568241355,9.671406963,9.937478187,9.214753321,8.974997478
HLA-DPA1,12.15850934,12.10532629,12.03995104,12.35830614,12.97135686,11.75996919,12.32972926,12.10860526,13.50951383,12.65906768,13.87071469,13.67253193,13.65167593,13.47163559,13.62985072
